City ID,City Name,Country,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed,Date
346,nola,IT,1,64,40.92,14.53,73.4,2.24,1595197865
347,lufilufi,WS,32,88,-13.87,-171.6,78.01,5.01,1595197866
348,shantipur,IN,75,89,23.25,88.47,84.2,5.82,1595197866
349,naryan-mar,RU,33,79,67.67,53.09,53.22,7.4,1595197866
350,tual,ID,51,84,-5.67,132.75,78.64,20.18,1595197866
351,poya,NC,14,59,-21.35,165.15,72.07,6.62,1595197866
352,saint-francois,FR,0,63,46.42,3.91,66.2,3.36,1595197866
353,neuquen,AR,67,87,-38.95,-68.06,51.8,3.36,1595197098
354,banjar,ID,75,100,-8.19,114.97,78.8,10.29,1595197866
355,lata,PT,0,92,40.16,-8.33,63.0,1.63,1595197755
356,korla,CN,100,87,41.76,86.15,75.99,1.99,1595197866
357,lagoa,PT,11,77,39.05,-27.98,69.33,6.08,1595197311
358,umm bab,QA,1,63,25.21,50.81,95.0,2.33,1595197867
359,general roca,AR,72,87,-39.03,-67.58,51.8,3.36,1595197867
360,nautla,MX,7,58,20.22,-96.78,87.73,10.83,1595197745
361,krasnogvardeyskiy,RU,100,97,57.38,62.32,64.56,5.91,1595197867
362,louth,GB,66,76,53.37,0.0,57.2,8.05,1595197867
363,pisco,PE,20,77,-13.7,-76.22,64.4,18.34,1595197867
364,port hawkesbury,CA,90,83,45.62,-61.35,75.99,4.7,1595197388
365,pakokku,MM,100,70,21.33,95.1,82.58,13.35,1595197867
366,eyl,SO,92,64,7.98,49.82,79.18,24.67,1595197867
367,molina,CL,75,67,-35.12,-71.28,60.01,6.93,1595197868
368,morales,CO,96,87,2.76,-76.62,65.17,1.41,1595197868
369,pontal do parana,BR,0,84,-25.65,-48.51,60.01,1.45,1595197869
370,mitu,CO,79,95,1.2,-70.17,74.68,1.41,1595197869
371,pamekasan,ID,4,83,-7.16,113.47,77.65,3.33,1595197869
372,harrisonburg,US,1,46,38.45,-78.87,95.0,4.63,1595197736
373,sindor,RU,0,91,62.86,51.89,50.4,5.53,1595197869
374,raahe,FI,99,82,64.68,24.48,60.8,1.12,1595197869
375,yarkovo,RU,68,95,57.4,67.08,64.62,5.86,1595197869
376,virginia beach,US,75,52,36.85,-75.98,98.01,4.7,1595197707
377,benguela,AO,0,66,-12.58,13.41,68.58,4.47,1595197869
378,monrovia,LR,75,94,6.3,-10.8,77.0,10.96,1595197673
379,anadyr,RU,20,58,64.75,177.48,53.6,6.71,1595197319
380,barcelos,PT,75,93,41.54,-8.62,69.01,1.72,1595197363
